FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
312,f39981f4-1f09-4b6c-8ce9-875dd4b38f8d,5127,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Enyibuchiri / Enyibichiri / Obegu Enyibuchiri,EBSCHR10,Ikwo,11007,Ebonyi,EB,GRID,Odegari Junction Off Ophunna Transformer,8.36414666723493,6.19086666726292
313,75bee763-154c-495c-a47a-c1bd406435f4,5126,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuhuali 1 / Umuhuali 2,EBSZLL29,Ishielu,11008,Ebonyi,EB,GRID,Eedc Power,7.79355333292006,6.54297333295301
314,0880f9c8-859d-4b61-b092-a9ed8ac9b5b6,5125,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obinagu,EBSSKA14,Ivo,11009,Ebonyi,EB,GRID,Ihuali Power Supply,7.57889500000431,5.87828499955316
315,93c387e2-d94c-4eac-9393-04ca2c8ea81d,5124,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuhuali 1 / Umuhuali 2,EBSZLL29,Ishielu,11008,Ebonyi,EB,GRID,Transformer Group 2 Niger Cem,7.78891833321455,6.54737666729943
316,51647574-4a58-48f8-b4a2-affe555a3980,5123,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Mgbukuobe Ntezi Aba Transformer,8.08432166741107,6.33666500018967
317,80fdaffa-6aeb-42d2-b5b4-486576a13145,5122,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Amike Aba Transformer,8.10197000011544,6.34647669993979
318,5808cd9c-0414-4207-b698-4148be60a959,5121,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obinagu,EBSSKA14,Ivo,11009,Ebonyi,EB,GRID,Ayaragu Amagu Transformer,7.57871833268496,5.87856666721797
319,015a0a7c-126f-4435-8326-900d456db5b0,5120,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ndiebor 1 / Ndiebor 2,EBSUGB14,Ebonyi,11004,Ebonyi,EB,GRID,Unnamed Transformer 2,8.04272333281563,6.37815000042224
320,806bd3f4-a940-46a0-9be8-2e6ed7028904,5119,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ndiebor 1 / Ndiebor 2,EBSUGB14,Ebonyi,11004,Ebonyi,EB,GRID,Ikelagu Transformer,8.04415166666615,6.37717166663913
321,4074fb5f-7085-4a35-b4f1-14d8c5acb4ba,5118,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Unnamed Transformer 2,8.12413666707357,6.33621333277915
