FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
6605,7aa8fa1f-dc64-477a-898d-bee55d22f7f9,28436,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Yidi,OYSSET11,Saki East,31031,Oyo,OY,In Use,GRID,Owolabi Agro Industries Ltd,3.67924999988765,8.67612329985047
6606,953beb78-d879-4dc2-bcc2-38fbd060b2f3,28435,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ojoo,OYSAKE09,Akinyele,31002,Oyo,OY,In Use,GRID,Metal Fabrication,3.8918633329265,7.46269333313086
6607,3b56e450-be35-45bf-b807-99e42aa65412,28434,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alakia,OYSEGA02,Egbeda,31005,Oyo,OY,In Use,GRID,First Line Gas Industry,3.9714566668917,7.39122333329027
6608,0994740b-0b28-4d19-8529-41f7b1f09d0a,28433,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alakia,OYSEGA02,Egbeda,31005,Oyo,OY,In Use,GRID,Nigerian Breweries PLC Ibadan,3.97136833278239,7.39277166727868
6609,2ca08462-0233-40c8-8420-d5bb00e80cbf,28432,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iware,OYSAFO10,Afijio,31001,Oyo,OY,In Use,GRID,Aba Asalu,3.98034169980963,7.70843329985695
6610,65915ede-4b5f-4188-8427-b9a5fecb07af,28431,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilora 3,OYSAFO08,Afijio,31001,Oyo,OY,In Use,GRID,Farm Settlement Factories Industry Sites,3.7974766666149,7.78513999981118
6611,accbcd1e-1dd7-4f59-8f18-40a2226fb516,28430,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ado Awaye,OYSISN01,Iseyin,31016,Oyo,OY,In Use,GRID,Mulika Garri Factory,3.501548300114,7.74339669989786
6612,82e28764-ee5b-4ae8-a6ef-3516ef965c8e,27671,2/2/2018 12:00:00 AM,adanna.alex, ,Osu-Owerre 2,IMSUML13,Isiala Mbano,17009,Imo,IM,In Use,GRID,River Side Oil Mill Factory,7.2260902130929,5.70757273359482
6613,e91ac4f9-c99d-4bfe-9504-c81c6cfedda9,27670,2/2/2018 12:00:00 AM,adanna.alex, ,Otulu,IMSNGB11,Oru West,17023,Imo,IM,UnUsed Good,GRID,Fadama 11 Cold Room,6.90769166383927,5.69371661443029
6614,c9568b85-87b7-4e5d-a3b0-87d555f174e4,27669,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Opapa / Fatuke,OYSOWT08,Oyo West,31030,Oyo,OY,In Use,GRID,Star Al Malik Table Water And Yoghurt Depot,3.90364166742904,7.87215333330971
6615,13193c56-4f95-4281-8675-e9acaedd7003,27668,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Afin 2,OYSATA02,Atiba,31003,Oyo,OY,In Use,GRID,Oke Ilupeju Gari Factory,3.94191833266495,7.89196833337195
6616,f1b7c5b5-35fd-46a0-8596-22e9978f21da,27666,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Nkomoro,EBSEBJ07,Ezza North,11005,Ebonyi,EB, ,GRID,To Chim Enterprises Limited,7.85515166711582,6.23984500044645
6617,36e7f96d-5334-4276-83fb-01f77859c2ba,28429,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ado Awaye,OYSISN01,Iseyin,31016,Oyo,OY,In Use,GRID,Anuoluwapo Garri Factory,3.5017967000577,7.74208669974144
6618,892611d4-2d72-4d76-b3e8-a5bfd7b5507f,28428,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iware,OYSAFO10,Afijio,31001,Oyo,OY,In Use,GRID,Aba Olokuta,3.97057169982412,7.70841169994003
6619,e313577d-2760-4d65-af86-378339e53e30,28427,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,In Use,GRID,Garri Industry,3.65608166713525,7.75340333309737
6620,72ebb477-7f1f-4f56-a1f4-8757a4cf80f7,28426,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,In Use,GRID,Garri Factory Igbo Kandi,3.67191833266497,7.75499333267624
6621,cf4721c1-8e7f-4ccc-80f2-c4b8c24cdc93,28425,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,In Use,GRID,Garri Factory,3.67177000028533,7.75520166692343
6622,261319b1-9586-4e94-be4f-fd0c0beea99b,28424,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agunpopo 3,OYSATA05,Atiba,31003,Oyo,OY,In Use,GRID,Ajiroba Cassava Factory,3.9620449999768,8.02473333327674
6623,bdee3de6-6bb4-49c0-b72b-48d9ae06d172,28423,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agunpopo 3,OYSATA05,Atiba,31003,Oyo,OY,In Use,GRID,Ajiroba Palm Oil Factory,3.96200833281836,8.02496833332197
6624,b6d46554-afd6-43fa-a5d0-8ecfeba054e4,28422,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agunpopo 3,OYSATA05,Atiba,31003,Oyo,OY,In Use,GRID,Agbaakin Cassava Factory,3.96667333300798,8.03234166703436
6625,3cc5d889-748a-4362-8488-4d5248308409,28421,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Koso 1,OYSISN08,Iseyin,31016,Oyo,OY,In Use,GRID,Sheep and Goat Gari Factory,3.56517500032606,7.96011333276414
6626,a4ec9c84-4e90-4280-8199-c73c929c791a,28420,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Koso 1,OYSISN08,Iseyin,31016,Oyo,OY,In Use,GRID,Gari Processing Factories Sites Oja Agbe,3.56497833298374,7.96188333344912
6627,fa50cde5-e5b0-4517-ae8c-12295a2a0ac4,28419,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Awe 2,OYSAFO03,Afijio,31001,Oyo,OY,In Use,GRID,Eebu Akoda Idi Orupa,4.02391470010338,7.73266659988371
6628,696df34c-033a-4aae-b3c7-d9bace8496ce,28418,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Awe 2,OYSAFO03,Afijio,31001,Oyo,OY,In Use,GRID,Eebu Aba Koko,4.02253620038539,7.7216256995664
6629,7a2892d9-8c22-4ff9-8ff5-f47a0e5ea7fb,28417,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Arowomole,OYSODS03,Ogbomosho South,31022,Oyo,OY,UnUsed Good,GRID,Sunny Khol Enterprises,4.22246166687245,8.10199000013847
6630,b7fc219a-98b7-4eae-a28d-dbed1a517d8d,28416,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Arowomole,OYSODS03,Ogbomosho South,31022,Oyo,OY,UnUsed Good,GRID,TJ Block,4.2206099996518,8.10083166704783
6631,90e3ee40-20a9-464a-b083-a70157eaa7f1,28380,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikoyi Ile,OYSOIE06,Ori Ire,31028,Oyo,OY,In Use,GRID,Saw Mill,4.17417499957662,8.23831499963757
6632,927f61cc-3d49-406c-83b9-0556b403159c,28379,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikoyi Ile,OYSOIE06,Ori Ire,31028,Oyo,OY,In Use,GRID,Agbede Garri Industry,4.1765850000977,8.24396666672834
6633,04a2beb4-d6d7-43be-86d2-24967817bcb3,28378,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,UnUsed Good,GRID,Poultry Farm,3.62963333331174,7.9109683327224
6634,4f579bb4-0242-4c10-8ea6-bc66244ad3e0,28377,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekunle 2,OYSISN04,Iseyin,31016,Oyo,OY,In Use,GRID,Gari Factory Orangun,3.63090166697839,7.92076333296149
6635,268f0600-374c-4fbd-81fa-8faa0afacf18,28376,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Machine And Mercantile International,3.85401670011066,7.35932829956141
6636,06020ec4-1281-4b96-badd-757d804f3aa2,28375,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Ararad Technical Nigeria Limited,3.85311500025711,7.36070000040473
6637,53f81afe-da92-41d8-a2eb-1207bada4d3d,28374,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Sumal,3.85219500009924,7.35999669998779
6638,5120306d-b4ce-4f7a-8849-ccc979994fa9,28373,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Amir Plast,3.85225169965628,7.36156170021235
6639,1b566739-b665-4f1a-ba51-17851ea5dc52,28372,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Olo Industries Limited,3.85265213988441,7.36185716617535
6640,f9fb6987-f1d2-4532-945f-e9fa46dd41be,28371,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Alkanah,3.8524283004258,7.36213500003026
6641,ebccf405-158f-4c42-a915-f350a192175b,27656,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB, ,GRID,Emekas Construction Center,8.08608333317932,6.33365333343465
6642,c1bee533-b5c3-49d7-a185-0fe50d4003ac,27655,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB, ,GRID,Alekes Construction Center,8.08396499988487,6.33326666722297
6643,061c4afb-1300-493a-9f93-19cdcb241a3f,27654,2/2/2018 12:00:00 AM,adanna.alex, ,Uzii / Umualoma,IMSURU19,Ideato North,17005,Imo,IM,In Use,GRID,Ezeabeg Block Industry,7.1093330907496,5.90447467396706
6644,ab7acb3b-01f8-48f6-beed-ab9bfbc6c97b,27652,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ire 2,EKSOYE06,Oye,13016,Ekiti,EK,In Use,GRID,Keleju Saw Made Timber Factory,5.39155500006325,7.75302666734689
