FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,category,alt_name,source,poi_name,x,y
2218,da44176c-3cc8-43f5-8dfd-fced6cd0b3d5,14826,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Isale Ikirun / Isale / Oke Afo,OSSIDN07,Ifelodun,30016,Osun,OS,Federal Government, ,GRID,The Nigeria Police Headquarters Ikirun,4.65222166699641,7.92762666743681
2219,b9ac501f-8621-4b2c-931f-31dcf2bf630f,14827,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Isale Osolo,OSSEGO06,Ejigbo,30010,Osun,OS,State Government, ,GRID,Osun State High Court Of Justice Ejigbo,4.32345500024809,7.90083000010446
2220,5fa24708-4c6d-48c1-bfac-24749ae34f31,14828,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Igbajo 3,OSSBOLUW04,Boluwaduro,30005,Osun,OS,State Government, ,GRID,Chief Magistrate Court,4.81651166737959,7.9053783330437
2221,cee9d079-ece4-428a-9644-6a107b41cc87,14830,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Sabo Agbengbe 1,OSSENH09,Ede North,30007,Osun,OS,State Government, ,GRID,High Court Of Justice,4.42434166683449,7.75550166726816
2222,66007919-6b78-42d9-af2c-be8a8d620735,14832,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ipetu Ijesa 1,OSSOIE10,Oriade,30028,Osun,OS,Local Government, ,GRID,Oriade South Local Council Development Area Ipetu Ijesa,4.8928250002736,7.47163166706781
2223,6cf82008-8a95-400f-a693-3ca5608b61a7,14833,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ipetu Ijesa 1,OSSOIE10,Oriade,30028,Osun,OS,Federal Government, ,GRID,Federal Government Of Nigeria Mini Water Scheme Ipetu Ijesa,4.89844166664966,7.46678333288457
2224,21cb2c4d-395b-4087-95a2-1ca6e2bca6fa,14836,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ipetu Ijesa 1,OSSOIE10,Oriade,30028,Osun,OS,Federal Government, ,GRID,Federal Road Safety Office Building Along Owena Road,4.90869166718676,7.46275000031233
2225,f6b3d66b-ccda-4885-afbd-c3dbae2a2aa5,14837,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Aworo,OSSIDO03,Ifedayo,30015,Osun,OS,Local Government, ,GRID,Ifedayo Local Government Secretariat,4.99290500016565,7.96298333291452
2226,3f373057-616d-4e5a-b13b-c62d234906d9,14842,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Igbajo 3,OSSBOLUW04,Boluwaduro,30005,Osun,OS,State Government, ,GRID,State Veterinary Centreigbajo,4.82101500004228,7.90078666717102
2227,b0a22619-bd8a-456b-98bc-8f3668d683d0,14847,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Gbogon Rural,OSSADE03,Ayedade,30001,Osun,OS,Local Government, ,GRID,Ayedade Local Government Dispensary,4.3713266672919,7.44843000004454
2228,1c795088-d8db-4449-8c82-69bd8df3cb08,14857,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Sabo Agbengbe 2,OSSENH10,Ede North,30007,Osun,OS,State Government, ,GRID,Water Corporation Along Ede Road Erinle,4.453393332936,7.75727166705383
2229,4ef60714-8675-41e4-a22a-58d366455694,14858,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Sabo Agbengbe 2,OSSENH10,Ede North,30007,Osun,OS,State Government, ,GRID,Old Water Cooperation,4.45210333280261,7.75830000044471
2230,5e1d423b-c4ba-4120-924c-8fc2dfdbc2cf,14859,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Modakeke 2,OSSIET04,Ife East,30012,Osun,OS,Federal Government, ,GRID,Nigeria Police Divisional Headquarters,4.53203833270294,7.47298833304518
2231,ecaac601-16e3-45a0-a8ff-f60819eb03e9,14863,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,National Health Insurance Scheme,4.54230000014496,7.78497666673985
2232,8c601149-fd56-44af-8b90-2acf7e218f04,14864,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,Customary Court Of Appeal,4.54297333335268,7.78493333290703
2233,5470d171-d640-480e-8e3d-3805ecd07933,14865,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,State Government, ,GRID,Osun State Internal Revenue Service Tax And Motor Licensing Office,4.47953166685301,7.84125666666188
2234,fc13eec4-73f3-487f-8264-e0e25f9e8ed9,14866,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,State Government, ,GRID,Osun State Water Corporation Commercial Office,4.47935833332048,7.8406850000128
2235,8738734b-a90b-49c7-8777-6e26dea1cd71,14867,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,Local Government, ,GRID,Water And Environmental Sanitation Department,4.47870333279263,7.83930666666936
2236,ec46c6d9-a297-482b-be56-9cd1ae08bfa9,14868,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ega-Aaje / Osun-Eesa,OSSORU03,Orolu,30029,Osun,OS,Local Government, ,GRID,Dept Of Agric And Natural Resources,4.47832333325528,7.83928500020266
