FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,plc_st_nam,x,y
407,d777ad06-f7c9-4fa4-99c0-dae9ab205e35,2814,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Urban 2,ABSUMA18,Umuahia North,1016,Abia,AB,GRID,State Cid Station,7.49016666655848,5.54894000038075
408,7f27542a-99fe-45de-94eb-83627347189e,2813,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oboro 3,ABSKWU12,Ikwuano,1005,Abia,AB,GRID,The Nigerian Police Divisional Headquarters,7.56173166718276,5.41534166708431
409,af0cc603-f65d-4a61-bfb5-6d101e36e329,2812,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Old Umuahia,ABSAPR10,Umuahia South,1017,Abia,AB,GRID,Nigeria Police Force 28 Squadron Umuobia,7.48426329991139,5.48653500039001
410,e7c31628-275e-4b69-90f2-f2726cee84b6,2811,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Urban 1,ABSUMA17,Umuahia North,1016,Abia,AB,GRID,Divisional Headquarters World Bank Division Ehimiri,7.52217999980718,5.51574000000107
411,d7443ee4-e4c0-4338-8553-d521ae508c5f,2810,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Eziukwu 1 / 2,ABSABA07,Aba South,1002,Abia,AB,GRID,Uratta Police Station,7.33644166684951,5.08957833307369
412,dd014f71-4ae2-46b7-85b0-673e06c78362,2809,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Aku-Na-Ekpu,ABSMBA01,Isiala-Ngwa South,1007,Abia,AB,GRID,The Nigeria Police Station Ndiolumbe,7.47602166716626,5.26543833281283
413,e4e87e34-8b7d-40d1-ac80-6958a7304e90,2808,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuasua,ABSMBL18,Isuikwuato,1008,Abia,AB,GRID,Police Station Isiukwuato Divisional Headquarters,7.49730833311315,5.73991166728968
414,80335174-303a-412b-ab71-2249ff18cc94,2807,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Afugiri 2,ABSUMA03,Umuahia North,1016,Abia,AB,GRID,Nigerian Police Umuegwu Ohuhu,7.47589833324156,5.60053500009025
415,6b022669-ea82-4016-b233-38d3c0f6d8de,2806,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ibeku East 2,ABSUMA06,Umuahia North,1016,Abia,AB,GRID,The Nigeria Police Headquaters,7.52081011739307,5.60410440839178
416,eb528a2b-6f6b-4fe9-828f-cfe386bc4b29,2805,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Item 4,ABSBND10,Bende,1004,Abia,AB,GRID,Amaeke Police Station,7.68172166702135,5.75297666723947
417,e3e9cf8b-a144-438b-a2bb-5e1d2e0effc9,2804,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ibeku West,ABSUMA07,Umuahia North,1016,Abia,AB,GRID,Umuopara Police Station,7.45742500026358,5.5391283330062
418,eb421764-4fbe-4e47-9eda-05e6882aa2af,2803,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ndi Etiti,ABSHAF13,Ohafia,1010,Abia,AB,GRID,Nigeria Police Divisioal Headquarters Nkporo,7.76832333315537,5.78765333283508
419,23a84046-c8c6-41ef-9058-999604314b15,2802,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mazat,PLSBLD12,Barkin Ladi,32001,Plateau,PL,GRID,Kuba Police Station,8.9281133002886,9.4153583001455
420,c13902db-88c6-409c-9480-44c8f03cad37,2801,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Tahu,PLSBSA17,Bassa,32002,Plateau,PL,GRID,The Nigerian Police Station Miango Bassa Division,8.68646830027188,9.85111670007569
421,47f1114b-a412-4411-8513-752c4df53e11,2800,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Buhit,PLSBSA03,Bassa,32002,Plateau,PL,GRID,Jebbu Bassa Station,8.74942500016368,9.95414830010401
422,61e55089-08c7-44e4-9fb9-18e8ed645a3b,2798,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Adiabo Efut,CRSDUK07,Odukpani,9015,Cross River,CR,GRID,Ikot Eneobong Police Post,8.36070166664865,5.05179499993932
423,7889b00e-a3d8-45b7-a449-ae0b942e030d,2792,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alankwu,CRSBJE06,Boki,9007,Cross River,CR,GRID,Batriku Police Station,9.14507829982375,6.48372330039007
424,236a8674-aefa-4abc-aacc-259f429668d3,2791,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okuku,CRSCKK03,Yala,9018,Cross River,CR,GRID,The Nigeria Police Okuku,8.7734833002142,6.71254499955211
425,a4b9b39a-f975-485b-b432-7f474c585c86,2790,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mkpolo / Ukpawen,CRSGEP08,Yakurr,9017,Cross River,CR,GRID,Police Station Geneva,8.18293666719347,5.86374166704434
426,3b9e12d9-730d-49a6-8520-b88e579da365,2451,2/2/2018 12:00:00 AM,najib.adam, ,Ilara,OGSION06,Imeko Afon,28013,Ogun,OG,GRID,The Nigeria Police Station Ilara Yewa,2.74808522465344,7.41496811978294
427,5c2e1eb5-92b5-436a-bd40-019791b68b74,2450,2/2/2018 12:00:00 AM,najib.adam, ,Odeda,OGSODA07,Odeda,28016,Ogun,OG,GRID,Police Station Odeda,3.52349166720671,7.2323293766994
428,9b8729c4-ad3f-4089-bf8d-598386ef1185,2449,2/2/2018 12:00:00 AM,najib.adam, ,Agbara,OGSADO03,Ado Odo/Ota,28003,Ogun,OG,GRID,Unilever Police Post,3.07789000042322,6.51479666673282
429,7b866003-3947-4b91-ac5a-742779b542c1,2448,2/2/2018 12:00:00 AM,najib.adam, ,Oba,OGSOBE08,Obafemi Owode,28015,Ogun,OG,GRID,The Nigeria Police Station Oluwo,3.32970829959839,7.11941390003153
430,c180f344-282e-4f08-984b-4c9824a9c35f,2788,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odukpani,CRSDUK06,Odukpani,9015,Cross River,CR,GRID,Divisional Headquarters Odukpani,8.34238169955586,5.15723000036428
431,c1ed8bf9-d6f6-4421-a291-1ea573e271e1,2783,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ebo,CRSCKK14,Yala,9018,Cross River,CR,GRID,Ezekwe Okpodon Police Station,8.42693999988114,6.51791166738957
432,ef1aeba5-1388-40d7-8819-d30a1d5ee47a,2782,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Bunyia,CRSBJE08,Boki,9007,Cross River,CR,GRID,Nigerian Police Station Okubuchi Irruan,8.98157333294301,6.47281166682501
433,e3525a8f-8db5-478d-8d7c-ee9315430d05,2781,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilase,OSSOBN07,Obokun,30024,Osun,OS,GRID,Idominansi Police Station,4.70560833295826,7.69474000025087
434,48a00df0-c6ff-4d44-b9ac-ca39e7bd8764,2780,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Jaleyemi,OSSORU05,Orolu,30029,Osun,OS,GRID,Police Divisional Headquarters Ifon,4.46712833320606,7.8770750000113
435,27831cf3-01d8-4b23-baa5-f326ee01d575,2779,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Modakeke 2,OSSIET04,Ife East,30012,Osun,OS,GRID,Agaun Police Station,4.57090166707832,7.45860666716402
436,d09e1ba7-6345-4300-8070-6f8e8498639a,2778,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Olusokun,OSSENH08,Ede North,30007,Osun,OS,GRID,Ede Police Division Ede,4.4356333332118,7.73629333277114
437,213cc6c9-6bc7-40a5-bad9-31cee0fa37ab,2775,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilaodo / Ijabe,OSSODN07,Odo Otin,30025,Osun,OS,GRID,Ijabe Police Station,4.6849116672397,8.03545333300497
438,63177762-f97f-42e7-8226-75275f97f13f,2703,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alaukwu Ohanze,ABSNGK07,Obi Nwga,1009,Abia,AB,GRID,Eastern Ngwa Division Headquarters,7.45789999968531,5.15194500036154
439,16f870c6-d891-41dd-a219-b4750788b341,2702,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Azumini,ABSKEK03,Ukwa East,1013,Abia,AB,GRID,Azumini Police Station,7.48114999987263,4.94492833277639
440,6e28af19-ad46-4d05-9227-d462687ed582,2701,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Uzuakoli 2,ABSBND20,Bende,1004,Abia,AB,GRID,Nigeria Police Divisional Headquarters Uzoakoli,7.55947166728367,5.63371000021641
441,ad1c3389-7efe-4383-98a4-c9dd9881b5be,2700,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akwete Ohandu,ABSKEK01,Ukwa East,1013,Abia,AB,GRID,Akwete Nigeria Police,7.36258500009774,4.88809499978447
442,042a7e64-4fc4-4184-ac2f-cc24b9648a4c,2699,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alayi 1,ABSBND01,Bende,1004,Abia,AB,GRID,Agboakoli Police Station,7.59372833329599,5.73534666721497
443,d8a4ace0-939b-41a2-a590-43a9db59c604,2698,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ahiaba / Abala,ABSNGK04,Obi Nwga,1009,Abia,AB,GRID,Ohuru Ishimiri Police Station,7.3808616999076,5.14047999955238
444,8313c324-7ae8-4be1-88e2-c7b4d3b005ad,2697,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ohafor 1,ABSACH15,Arochukwu,1003,Abia,AB,GRID,Ozu Abam Police Station,7.72876500000478,5.58878999985865
445,0a112b42-8048-4948-9bc3-d3b93b894db3,2696,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mbarakom,CRSKAM10,Akamkpa,9002,Cross River,CR,GRID,Nigeria Police Force Calaro Estate Post,8.2933149998874,5.28372499980895
446,ca888873-34a0-42c2-8434-7f3db77c837e,2695,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ito / Idere / Ukwa,CRSDUK13,Odukpani,9015,Cross River,CR,GRID,Ariyo Police Station,7.98888000011198,5.32464829967932
447,57e794d6-8d36-4d68-aa96-9670da8f7c9f,2694,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akamkpa Urban,CRSKAM05,Akamkpa,9002,Cross River,CR,GRID,The Nigeria Police Divisional Headquarters Akamkpa Urban,8.35261333323876,5.31577166732865
448,eab52917-cc20-4785-90dc-23b7f6cf364b,2692,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Erei South,CRSAKP06,Biase,9006,Cross River,CR,GRID,Urugbam Police Station,7.92628999968377,5.73339170026679
449,f5d2724d-f216-41c7-b685-25dfac19d5c4,2691,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abo,CRSBJE05,Boki,9007,Cross River,CR,GRID,Danare Police Station,9.06010330042704,6.01401329977404
450,5497bd74-d8a9-4b98-9480-5e75d4e9b997,2690,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Akamkpa Urban,CRSKAM05,Akamkpa,9002,Cross River,CR,GRID,The Nigeria Police Akamkpa Area Command Headquarters Old Netim,8.34980166671357,5.34959333306591
451,42e24845-bba6-4fdc-b8c5-fb3f3c67741a,2689,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Biakpan,CRSAKP01,Biase,9006,Cross River,CR,GRID,Nigeria Police Station Biakpan,7.92595329980497,5.58782829993612
452,47b0a411-1a39-46fd-aa44-7b4feb7debcc,2688,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikun-Etono,CRSAKP04,Biase,9006,Cross River,CR,GRID,Police Station Ikun,7.96473669973898,5.65160499987087
